,citing author name,citing paper title,cited paper title,affiliated institution,latitude,longitude,county,city,state,country
0,Ming-Hsuan Yang,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,Merced,37.1641544,-120.7678602,Merced County,,California,United States
1,Jiaqi Ma,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,MAXIM: Multi-Axis MLP for Image Processing,University of California,34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
2,Liang Liao,Fast-vqa: Efficient end-to-end video quality assessment with fragment sampling,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
3,Yonglin Tian,Federated vehicular transformers and their federations: Privacy-preserving computing and cooperation for autonomous driving,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,Chinese Academy of Sciences,39.90933665,116.32971461228999,,Beijing,Beijing,China
4,Vishnu Pandi Chellapandi,Federated learning for connected and automated vehicles: A survey of existing approaches and challenges,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,Technology,3.16129015,101.56813112882818,,Petaling Jaya,Selangor,Malaysia
5,Sandeep Mishra,Re-iqa: Unsupervised learning for image quality assessment in the wild,RAPIQUE: Rapid and accurate video quality prediction of user generated content,University of Texas at Austin,30.2851494,-97.73393515146053,Travis County,Austin,Texas,United States
6,Chaofeng Chen,Q-align: Teaching lmms for visual scoring via discrete text-defined levels,RAPIQUE: Rapid and accurate video quality prediction of user generated content,S-Lab,54.7391503,55.9709483,городской округ Уфа,Ufa,Bashkortostan,Russia
7,Qi Zheng,COVER: A comprehensive video quality evaluator,BBAND Index: a No-Reference Banding Artifact Predictor,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
8,Xinlei Chen,Convnext v2: Co-designing and scaling convnets with masked autoencoders,MaxViT: Multi-axis Vision Transformer,FAIR,49.93216245,8.684753081266553,,Darmstadt,Hesse,Germany
9,Haoning Wu,Fast-vqa: Efficient end-to-end video quality assessment with fragment sampling,Efficient user-generated video quality prediction,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
10,Bonan Li,BlazeBVD: Make Scale-Time Equalization Great Again for Blind Video Deflickering,Pik-Fix: Restoring and Colorizing Old Photos,University of Chinese Academy of Sciences,39.907697049999996,116.24405770367915,,Shijingshan District,Beijing,China
11,Jiaqi Ma,HYDRO-3D: Hybrid object detection and tracking for cooperative perception using 3D LiDAR,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,Los Angeles,34.0536909,-118.242766,Los Angeles County,Los Angeles,California,United States
12,Qi Zheng,Blind Video Quality Assessment via Space-Time Slice Statistics,FAVER: Blind Quality Prediction of Variable Frame Rate Videos,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
13,Wei Dai,Vmaf and variants: Towards a unified vqa,Regression or classification? new methods to evaluate no-reference picture and video quality models,Hong Kong University of Science and Technology,22.3386304,114.2620337,,Sai Kung District,Hong Kong,China
14,Jiaqi Ma,HM-ViT: Hetero-modal vehicle-to-vehicle cooperative perception with vision transformer,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,University of California,34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
15,Wenhui Wang,Image as a foreign language: Beit pretraining for vision and vision-language tasks,MaxViT: Multi-axis Vision Transformer,Microsoft Research,52.194951450000005,0.13501083507603753,Cambridgeshire,Cambridge,England,United Kingdom
16,David Bull,BVI-VFI: A video quality database for video frame interpolation,FAVER: Blind Quality Prediction of Variable Frame Rate Videos,University of Bristol,51.4905582,-2.6304824978595356,North Somerset,,England,United Kingdom
17,Xiaojie Chu,Simple baselines for image restoration,MAXIM: Multi-Axis MLP for Image Processing,Apple,12.9822892,77.5962827,Bangalore North,Bengaluru,Karnataka,India
18,Dingkang Yang,How2comm: Communication-efficient and collaboration-pragmatic multi-agent perception,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
19,Yuzheng Wang,How2comm: Communication-efficient and collaboration-pragmatic multi-agent perception,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
20,Meng Zonglin,A systematic survey of control techniques and applications in connected and automated vehicles,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,Los Angeles,34.0536909,-118.242766,Los Angeles County,Los Angeles,California,United States
21,Qiming Ai,Flexicurve: Flexible piecewise curves estimation for photo retouching,Pik-Fix: Restoring and Colorizing Old Photos,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
22,Chaofeng Chen,Towards explainable in-the-wild video quality assessment: a database and a language-prompted approach,RAPIQUE: Rapid and accurate video quality prediction of user generated content,S-Lab,54.7391503,55.9709483,городской округ Уфа,Ufa,Bashkortostan,Russia
23,Runsheng Xu,HM-ViT: Hetero-modal vehicle-to-vehicle cooperative perception with vision transformer,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,UCLA,34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
24,Li Wang,Multi-modal 3d object detection in autonomous driving: A survey and taxonomy,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,Tsinghua University,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
25,Yue Hu,Where2comm: Communication-efficient collaborative perception via spatial confidence maps,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
26,Xiangxu YU,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Adaptive debanding filter,Washington University in St. Louis,38.64724015,-90.30840174694748,Saint Louis County,St. Louis,Missouri,United States
27,Shunli Wang,"Aide: A vision-driven multi-view, multi-modal, multi-tasking dataset for assistive driving perception",V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
28,Xiongkuo Min (闵雄阔),A deep learning based no-reference quality assessment model for ugc videos,A comparative evaluation of temporal pooling methods for blind video quality assessment,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
29,Runsheng Xu,V2v4real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,UCLA,34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
30,Dr Nabajeet Barman,AIS 2024 challenge on video quality assessment of user-generated content: Methods and results,FAVER: Blind Quality Prediction of Variable Frame Rate Videos,Kingston University,51.403073899999995,-0.3032181426130893,,London,England,United Kingdom
31,Qi Zheng,A completely blind video quality evaluator,Pik-Fix: Restoring and Colorizing Old Photos,Shanghai,31.2323437,121.4691024,,Shanghai,Shanghai,China
32,Christos G. Bampis,ProxIQA: A proxy approach to perceptual optimization of learned image compression,Adaptive debanding filter,Netflix Inc.,34.0891581,-118.333448,Los Angeles County,Los Angeles,California,United States
33,Yunsheng Ma,A survey on multimodal large language models for autonomous driving,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,Purdue University,40.430028,-86.92642114650494,Tippecanoe County,West Lafayette,Indiana,United States
34,Zhengzhong Tu,A comparative evaluation of temporal pooling methods for blind video quality assessment,BBAND Index: a No-Reference Banding Artifact Predictor,Texas A&M University,30.6108618,-96.35206061388457,Brazos County,College Station,Texas,United States
35,Wei Sun,Subjective and objective quality assessment for in-the-wild computer graphics images,Subjective quality assessment of user-generated content gaming videos,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
36,Qi Zheng,A completely blind video quality evaluator,Regression or classification? new methods to evaluate no-reference picture and video quality models,Shanghai,31.2323437,121.4691024,,Shanghai,Shanghai,China
37,Jingwen Hou,Towards explainable in-the-wild video quality assessment: a database and a language-prompted approach,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
38,Andrey Norkin,ProxIQA: A proxy approach to perceptual optimization of learned image compression,BBAND Index: a No-Reference Banding Artifact Predictor,"Netflix, Los Gatos, CA, USA",37.25962235,-121.96267900730679,Santa Clara County,,California,United States
39,Junyu Dong,Curricular contrastive regularization for physics-aware single image dehazing,MAXIM: Multi-Axis MLP for Image Processing,Ocean University of China,36.072685050000004,120.42722436586305,,Laoshan District,Shandong,China
40,Wenxiu Sun,Discovqa: Temporal distortion-content transformers for video quality assessment,Efficient user-generated video quality prediction,The Hong Kong University of Science and Technology,22.3358031,114.2659087549023,,Sai Kung District,Hong Kong,China
